problem_id,problem_title,misconception_id,misconception_description,misconception_concept,kc_target,is_negative_control,pseudocode_status,model,dimensions,query_token_count,query_latency_ms,retrieval_latency_ms,top_k,top1_code,top1_description,top1_kc_tags,top1_distance,top1_similarity,top2_code,top2_description,top2_kc_tags,top2_distance,top2_similarity,top3_code,top3_description,top3_kc_tags,top3_distance,top3_similarity,top4_code,top4_description,top4_kc_tags,top4_distance,top4_similarity,top5_code,top5_description,top5_kc_tags,top5_distance,top5_similarity
46,Find Minimum in List,4,"Student believes that conditional statements, i.e., Python statements that evaluate to either True or False, must be explicitly compared to True or False to be used in conditionals.","CD, EX, OP","LO, CD, VA, IO",False,converted,google/gemini-embedding-001,3072,163,823.67,27.4,5,EX-01,Student believes that Boolean expressions must be explicitly compared to True/False or wrapped in if/else before they can be used or returned.,"CD, EX, OP",0.220795,0.779205,OP-02,Student believes that colons (:) are used for variable assignment.,"OP, VA",0.239771,0.760229,VA-02,"Student believes that an assigned expression or formula is stored dynamically, so the assigned variable automatically updates when variables in the expression change.","VA, EX, OP",0.242242,0.757758,LO-02,Student believes that for-loop variables exist in a separate scope and will not affect variables with the same name in the enclosing scope.,"LO, VA",0.287255,0.712745,VA-03,Student believes that variable identifiers can only be one letter long.,VA,0.291535,0.708465
46,Find Minimum in List,14,Student believes that loop variables are destroyed and are inaccessible after the loop completes.,"LO, VA","LO, CD, VA, IO",False,converted,google/gemini-embedding-001,3072,177,635.92,3.21,5,EX-01,Student believes that Boolean expressions must be explicitly compared to True/False or wrapped in if/else before they can be used or returned.,"CD, EX, OP",0.227001,0.772999,VA-02,"Student believes that an assigned expression or formula is stored dynamically, so the assigned variable automatically updates when variables in the expression change.","VA, EX, OP",0.248079,0.751921,OP-02,Student believes that colons (:) are used for variable assignment.,"OP, VA",0.252229,0.747771,LO-02,Student believes that for-loop variables exist in a separate scope and will not affect variables with the same name in the enclosing scope.,"LO, VA",0.300168,0.699832,VA-10,Computers know what value should be associated with a variable name.,VA,0.301338,0.698662
46,Find Minimum in List,16,Student believes that the = operator is used for equality comparison in conditional statements.,OP,"LO, CD, VA, IO",False,converted,google/gemini-embedding-001,3072,160,570.99,3.03,5,EX-01,Student believes that Boolean expressions must be explicitly compared to True/False or wrapped in if/else before they can be used or returned.,"CD, EX, OP",0.22722,0.77278,OP-02,Student believes that colons (:) are used for variable assignment.,"OP, VA",0.241319,0.758681,VA-02,"Student believes that an assigned expression or formula is stored dynamically, so the assigned variable automatically updates when variables in the expression change.","VA, EX, OP",0.244193,0.755807,LO-02,Student believes that for-loop variables exist in a separate scope and will not affect variables with the same name in the enclosing scope.,"LO, VA",0.287967,0.712033,VA-03,Student believes that variable identifiers can only be one letter long.,VA,0.292884,0.707116
46,Find Minimum in List,17,Student believes that colons (:) are used for variable assignment.,"OP, VA","LO, CD, VA, IO",False,converted,google/gemini-embedding-001,3072,160,620.26,3.02,5,EX-01,Student believes that Boolean expressions must be explicitly compared to True/False or wrapped in if/else before they can be used or returned.,"CD, EX, OP",0.225689,0.774311,OP-02,Student believes that colons (:) are used for variable assignment.,"OP, VA",0.240515,0.759485,VA-02,"Student believes that an assigned expression or formula is stored dynamically, so the assigned variable automatically updates when variables in the expression change.","VA, EX, OP",0.243657,0.756343,LO-02,Student believes that for-loop variables exist in a separate scope and will not affect variables with the same name in the enclosing scope.,"LO, VA",0.288801,0.711199,VA-03,Student believes that variable identifiers can only be one letter long.,VA,0.293098,0.706902
46,Find Minimum in List,18,"Student believes that in the expression x == a or b, the comparison operator distributes to both operands of the or operator.","EX, OP","LO, CD, VA, IO",False,converted,google/gemini-embedding-001,3072,200,1423.76,2.34,5,EX-01,Student believes that Boolean expressions must be explicitly compared to True/False or wrapped in if/else before they can be used or returned.,"CD, EX, OP",0.225809,0.774191,OP-02,Student believes that colons (:) are used for variable assignment.,"OP, VA",0.252368,0.747632,VA-02,"Student believes that an assigned expression or formula is stored dynamically, so the assigned variable automatically updates when variables in the expression change.","VA, EX, OP",0.253334,0.746666,LO-02,Student believes that for-loop variables exist in a separate scope and will not affect variables with the same name in the enclosing scope.,"LO, VA",0.292568,0.707432,VA-10,Computers know what value should be associated with a variable name.,VA,0.298806,0.701194
46,Find Minimum in List,20,Student believes that for loop variables exist in a separate scope and won't affect variables with the same name in the enclosing scope.,"LO, VA","LO, CD, VA, IO",False,converted,google/gemini-embedding-001,3072,167,548.55,18.44,5,EX-01,Student believes that Boolean expressions must be explicitly compared to True/False or wrapped in if/else before they can be used or returned.,"CD, EX, OP",0.225266,0.774734,VA-02,"Student believes that an assigned expression or formula is stored dynamically, so the assigned variable automatically updates when variables in the expression change.","VA, EX, OP",0.243665,0.756335,OP-02,Student believes that colons (:) are used for variable assignment.,"OP, VA",0.246388,0.753612,LO-02,Student believes that for-loop variables exist in a separate scope and will not affect variables with the same name in the enclosing scope.,"LO, VA",0.27281,0.72719,VA-10,Computers know what value should be associated with a variable name.,VA,0.2873,0.7127
46,Find Minimum in List,24,Student believes that it is unnecessary for loop variables to be explicitly initialized before the loop.,"LO, VA","LO, CD, VA, IO",False,converted,google/gemini-embedding-001,3072,164,558.77,18.08,5,EX-01,Student believes that Boolean expressions must be explicitly compared to True/False or wrapped in if/else before they can be used or returned.,"CD, EX, OP",0.225783,0.774217,OP-02,Student believes that colons (:) are used for variable assignment.,"OP, VA",0.244052,0.755948,VA-02,"Student believes that an assigned expression or formula is stored dynamically, so the assigned variable automatically updates when variables in the expression change.","VA, EX, OP",0.245416,0.754584,LO-02,Student believes that for-loop variables exist in a separate scope and will not affect variables with the same name in the enclosing scope.,"LO, VA",0.29016,0.70984,VA-03,Student believes that variable identifiers can only be one letter long.,VA,0.294766,0.705234
46,Find Minimum in List,25,Student believes that modifying a for loop variable inside the loop body does not affects the next iteration's value.,"LO, VA","LO, CD, VA, IO",False,converted,google/gemini-embedding-001,3072,165,598.11,17.86,5,EX-01,Student believes that Boolean expressions must be explicitly compared to True/False or wrapped in if/else before they can be used or returned.,"CD, EX, OP",0.225235,0.774765,OP-02,Student believes that colons (:) are used for variable assignment.,"OP, VA",0.240534,0.759466,VA-02,"Student believes that an assigned expression or formula is stored dynamically, so the assigned variable automatically updates when variables in the expression change.","VA, EX, OP",0.242928,0.757072,LO-02,Student believes that for-loop variables exist in a separate scope and will not affect variables with the same name in the enclosing scope.,"LO, VA",0.286361,0.713639,VA-03,Student believes that variable identifiers can only be one letter long.,VA,0.292367,0.707633
46,Find Minimum in List,26,"Student believes that conditional statements, i.e., Python statements that evaluate to either True or False, must always be wrapped in if/else statements to be returned as Boolean values.","CD, EX, OP","LO, CD, VA, IO",False,converted,google/gemini-embedding-001,3072,197,576.49,18.23,5,EX-01,Student believes that Boolean expressions must be explicitly compared to True/False or wrapped in if/else before they can be used or returned.,"CD, EX, OP",0.207045,0.792955,OP-02,Student believes that colons (:) are used for variable assignment.,"OP, VA",0.245285,0.754715,VA-02,"Student believes that an assigned expression or formula is stored dynamically, so the assigned variable automatically updates when variables in the expression change.","VA, EX, OP",0.245711,0.754289,LO-02,Student believes that for-loop variables exist in a separate scope and will not affect variables with the same name in the enclosing scope.,"LO, VA",0.293325,0.706675,VA-03,Student believes that variable identifiers can only be one letter long.,VA,0.295828,0.704172
46,Find Minimum in List,33,Student believes that multiple mutually exclusive conditions in a control flow construct must each be written as separate if statements.,CD,"LO, CD, VA, IO",False,converted,google/gemini-embedding-001,3072,174,590.89,20.11,5,EX-01,Student believes that Boolean expressions must be explicitly compared to True/False or wrapped in if/else before they can be used or returned.,"CD, EX, OP",0.212013,0.787987,OP-02,Student believes that colons (:) are used for variable assignment.,"OP, VA",0.23732,0.76268,VA-02,"Student believes that an assigned expression or formula is stored dynamically, so the assigned variable automatically updates when variables in the expression change.","VA, EX, OP",0.237387,0.762613,VA-03,Student believes that variable identifiers can only be one letter long.,VA,0.28815,0.71185,LO-02,Student believes that for-loop variables exist in a separate scope and will not affect variables with the same name in the enclosing scope.,"LO, VA",0.289193,0.710807
46,Find Minimum in List,35,Student believes that values must be explicitly converted to their current type to ensure type safety.,,"LO, CD, VA, IO",False,converted,google/gemini-embedding-001,3072,172,596.75,18.99,5,EX-01,Student believes that Boolean expressions must be explicitly compared to True/False or wrapped in if/else before they can be used or returned.,"CD, EX, OP",0.22561,0.77439,OP-02,Student believes that colons (:) are used for variable assignment.,"OP, VA",0.243536,0.756464,VA-02,"Student believes that an assigned expression or formula is stored dynamically, so the assigned variable automatically updates when variables in the expression change.","VA, EX, OP",0.245113,0.754887,LO-02,Student believes that for-loop variables exist in a separate scope and will not affect variables with the same name in the enclosing scope.,"LO, VA",0.287689,0.712311,VA-03,Student believes that variable identifiers can only be one letter long.,VA,0.293755,0.706245
46,Find Minimum in List,38,Student believes that while loops execute their body only once if the condition is true.,LO,"LO, CD, VA, IO",False,converted,google/gemini-embedding-001,3072,187,547.82,13.74,5,EX-01,Student believes that Boolean expressions must be explicitly compared to True/False or wrapped in if/else before they can be used or returned.,"CD, EX, OP",0.232132,0.767868,OP-02,Student believes that colons (:) are used for variable assignment.,"OP, VA",0.250301,0.749699,VA-02,"Student believes that an assigned expression or formula is stored dynamically, so the assigned variable automatically updates when variables in the expression change.","VA, EX, OP",0.251215,0.748785,LO-05,Student believes that while-loops execute their body only once if the condition is true.,LO,0.293435,0.706565,VA-03,Student believes that variable identifiers can only be one letter long.,VA,0.294438,0.705562
