No,Source ID(s),Concept,Code,Misconception,Example,Curation note,wrong_example,correct_example
1,Sychev SEQ3,SQ,SQ-01,Student believes statements inside a sequence or block may execute in an order different from their written order.,"Given step 1: input x; step 2: y ← x + 1; step 3: output y, student expects output to occur before the assignment.",Moved from old CD-05; introduces Sequence / Algorithm Flow category.,"input(x)
output(y)
y <- x + 1
{ output dipanggil sebelum y dihitung }","input(x)
y <- x + 1
output(y)"
2,Sychev SEQ1; Sychev SEQ2; Sychev SEL7; Sychev LOOP4; Bastian&Mühling DT,"SQ, CD, LO",SQ-02,"Student fails to recognize where a block ends, treating a statement after a sequence, selection, or loop as if it still belongs to that block.",if x > 0 then output('A') endif; output('B'). Student thinks output('B') is part of the if-branch.,"Merged old CD-03, CD-04, CD-12, LO-13, and CD-18 as one block-boundary misconception.","if x > 0 then
    output(""A"")
output(""B"")
{ siswa kira output(""B"") masih di dalam if karena lupa endif }","if x > 0 then
    output(""A"")
endif
output(""B"")"
3,Curation for AP1 pseudocode tasks,"SQ, IO, EX",SQ-03,Student believes a computation can be performed before all required input values or intermediate values are available.,"Student tries to compute volume after measuring only length and width, before height is known.",Added to support Week-1 algorithmic reasoning tasks; avoids math-formula dependency.,"input(panjang)
input(lebar)
volume <- panjang * lebar * tinggi
input(tinggi)
{ volume dihitung sebelum tinggi diinput }","input(panjang)
input(lebar)
input(tinggi)
volume <- panjang * lebar * tinggi"
4,Curation for AP1 pseudocode tasks,"SQ, VA, IO",SQ-04,"Student assumes information obtained in an earlier step remains usable later without being explicitly recorded, stored, or assigned.",Student measures the length of a cupboard but does not write it down or store it before continuing to measure width.,Added for early algorithm/state reasoning; related to VA but kept as sequence-level storage across steps.,"input(lebar)
input(tinggi)
luas <- panjang * lebar
{ panjang dipakai padahal tak pernah diinput/disimpan }","input(panjang)
input(lebar)
luas <- panjang * lebar"
5,Haberman PriorityDriven1; Haberman PriorityDriven4,"SQ, IO, VA",SQ-05,Student believes some statement types have special execution priority regardless of their position in the algorithm.,Student expects an assignment statement to happen before an input statement even when the input statement is written first.,Merged old IO-04 and IO-07 into a general execution-priority misconception.,"x <- 5
input(x)
output(x)
{ siswa kira x <- 5 tetap menang walau input(x) menimpanya }","input(x)
output(x)"
6,Grover&Basu GroupingError,"SQ, LO",SQ-06,Student believes repeated actions in a loop body should be split into separate repetitions instead of executing the whole ordered sequence as one loop body.,"For a loop body containing move then turn, student writes one loop for all moves and another loop for all turns.",Moved from old LO-27 because the core issue is repeating an ordered sequence as a unit.,"for i <- 1 to 3 do
    output(""maju"")
endfor
for i <- 1 to 3 do
    output(""belok"")
endfor
{ tiap aksi dipisah jadi loop sendiri }","for i <- 1 to 3 do
    output(""maju"")
    output(""belok"")
endfor"
7,Bayman&Mayer READ/DATA,"IO, VA",IO-01,Student believes input or data statements directly print values or place values into memory without an explicit variable-receiving step.,"Given data 80, 90, 99 and read A, student expects the values to be printed instead of assigning the first data value to A.",Kept from old IO-08.,"input(A)
{ siswa kira input(A) langsung mencetak nilainya, bukan menyimpan ke A }","input(A)
output(A)"
8,Bayman&Mayer PRINT,"IO, VA",IO-02,Student confuses printing a variable's value with printing the variable's name as literal text.,"If C stores 10, student expects output(C) to print the letter 'C' rather than 10.",Split from old IO-09; persistent output-history part merged into VA-05.,"C <- 10
output(""C"")
{ siswa kira ini mencetak isi C, padahal mencetak huruf 'C' }","C <- 10
output(C)"
9,Haberman PriorityDriven2,"IO, VA",IO-03,"Student believes that when multiple input statements use the same variable, only the first input determines the variable's value.","After input x reads 5 and input x reads 9, student expects x to remain 5.",Kept from old IO-05.,"input(x)
input(x)
output(x)
{ siswa kira x tetap nilai input pertama, padahal ditimpa input kedua }","input(x)
input(y)
output(x)
output(y)"
10,Haberman PriorityDriven3,"IO, VA",IO-04,"Student believes a variable's value can only be used once, after which a new input value is automatically assigned.",Student expects output(x) to consume x and make the next input value automatically become x.,Kept from old IO-06.,"input(x)
output(x)
output(x)
{ siswa kira output(x) 'mengonsumsi' x sehingga output kedua butuh input baru }","input(x)
output(x)
output(x)
{ nilai x tetap tersedia untuk dipakai berkali-kali }"
