problem_id,problem_title,misconception_id,misconception_description,misconception_concept,kc_target,is_negative_control,pseudocode_status,model,dimensions,query_token_count,query_latency_ms,retrieval_latency_ms,top_k,top1_code,top1_description,top1_kc_tags,top1_distance,top1_similarity,top2_code,top2_description,top2_kc_tags,top2_distance,top2_similarity,top3_code,top3_description,top3_kc_tags,top3_distance,top3_similarity,top4_code,top4_description,top4_kc_tags,top4_distance,top4_similarity,top5_code,top5_description,top5_kc_tags,top5_distance,top5_similarity
46,Find Minimum in List,4,"Student believes that conditional statements, i.e., Python statements that evaluate to either True or False, must be explicitly compared to True or False to be used in conditionals.","CD, EX, OP","LO, CD, VA, IO",False,converted,google/gemini-embedding-001,3072,163,823.67,29.57,5,IO-03,"Student believes that when multiple input statements use the same variable, only the first input determines the variable's value.","IO, VA",0.298598,0.701402,IO-01,Student believes input or data statements directly print values or place values into memory without an explicit variable-receiving step.,"IO, VA",0.304654,0.695346,SQ-05,Student believes some statement types have special execution priority regardless of their position in the algorithm.,"SQ, IO, VA",0.317857,0.682143,CD-03,Student believes a conditional branch executes regardless of whether its condition is true.,CD,0.327137,0.672863,LO-05,Student believes that while-loops execute their body only once if the condition is true.,LO,0.327433,0.672567
46,Find Minimum in List,14,Student believes that loop variables are destroyed and are inaccessible after the loop completes.,"LO, VA","LO, CD, VA, IO",False,converted,google/gemini-embedding-001,3072,177,635.92,3.51,5,IO-03,"Student believes that when multiple input statements use the same variable, only the first input determines the variable's value.","IO, VA",0.301423,0.698577,IO-01,Student believes input or data statements directly print values or place values into memory without an explicit variable-receiving step.,"IO, VA",0.311559,0.688441,SQ-05,Student believes some statement types have special execution priority regardless of their position in the algorithm.,"SQ, IO, VA",0.323022,0.676978,CD-03,Student believes a conditional branch executes regardless of whether its condition is true.,CD,0.33135,0.66865,IO-04,"Student believes a variable's value can only be used once, after which a new input value is automatically assigned.","IO, VA",0.334044,0.665956
46,Find Minimum in List,16,Student believes that the = operator is used for equality comparison in conditional statements.,OP,"LO, CD, VA, IO",False,converted,google/gemini-embedding-001,3072,160,570.99,3.16,5,IO-03,"Student believes that when multiple input statements use the same variable, only the first input determines the variable's value.","IO, VA",0.299289,0.700711,IO-01,Student believes input or data statements directly print values or place values into memory without an explicit variable-receiving step.,"IO, VA",0.305741,0.694259,SQ-05,Student believes some statement types have special execution priority regardless of their position in the algorithm.,"SQ, IO, VA",0.319123,0.680877,LO-05,Student believes that while-loops execute their body only once if the condition is true.,LO,0.329467,0.670533,CD-03,Student believes a conditional branch executes regardless of whether its condition is true.,CD,0.329883,0.670117
46,Find Minimum in List,17,Student believes that colons (:) are used for variable assignment.,"OP, VA","LO, CD, VA, IO",False,converted,google/gemini-embedding-001,3072,160,620.26,3.18,5,IO-03,"Student believes that when multiple input statements use the same variable, only the first input determines the variable's value.","IO, VA",0.299568,0.700432,IO-01,Student believes input or data statements directly print values or place values into memory without an explicit variable-receiving step.,"IO, VA",0.305514,0.694486,SQ-05,Student believes some statement types have special execution priority regardless of their position in the algorithm.,"SQ, IO, VA",0.318876,0.681124,CD-03,Student believes a conditional branch executes regardless of whether its condition is true.,CD,0.330018,0.669982,LO-05,Student believes that while-loops execute their body only once if the condition is true.,LO,0.330181,0.669819
46,Find Minimum in List,18,"Student believes that in the expression x == a or b, the comparison operator distributes to both operands of the or operator.","EX, OP","LO, CD, VA, IO",False,converted,google/gemini-embedding-001,3072,200,1423.76,2.44,5,IO-03,"Student believes that when multiple input statements use the same variable, only the first input determines the variable's value.","IO, VA",0.304552,0.695448,IO-01,Student believes input or data statements directly print values or place values into memory without an explicit variable-receiving step.,"IO, VA",0.311107,0.688893,CD-03,Student believes a conditional branch executes regardless of whether its condition is true.,CD,0.322456,0.677544,SQ-05,Student believes some statement types have special execution priority regardless of their position in the algorithm.,"SQ, IO, VA",0.323678,0.676322,LO-05,Student believes that while-loops execute their body only once if the condition is true.,LO,0.33029,0.66971
46,Find Minimum in List,20,Student believes that for loop variables exist in a separate scope and won't affect variables with the same name in the enclosing scope.,"LO, VA","LO, CD, VA, IO",False,converted,google/gemini-embedding-001,3072,167,548.55,18.69,5,IO-03,"Student believes that when multiple input statements use the same variable, only the first input determines the variable's value.","IO, VA",0.297079,0.702921,IO-01,Student believes input or data statements directly print values or place values into memory without an explicit variable-receiving step.,"IO, VA",0.302782,0.697218,SQ-05,Student believes some statement types have special execution priority regardless of their position in the algorithm.,"SQ, IO, VA",0.316645,0.683355,CD-03,Student believes a conditional branch executes regardless of whether its condition is true.,CD,0.316958,0.683042,LO-05,Student believes that while-loops execute their body only once if the condition is true.,LO,0.31812,0.68188
46,Find Minimum in List,24,Student believes that it is unnecessary for loop variables to be explicitly initialized before the loop.,"LO, VA","LO, CD, VA, IO",False,converted,google/gemini-embedding-001,3072,164,558.77,25.93,5,IO-03,"Student believes that when multiple input statements use the same variable, only the first input determines the variable's value.","IO, VA",0.30103,0.69897,IO-01,Student believes input or data statements directly print values or place values into memory without an explicit variable-receiving step.,"IO, VA",0.306703,0.693297,SQ-05,Student believes some statement types have special execution priority regardless of their position in the algorithm.,"SQ, IO, VA",0.320609,0.679391,CD-03,Student believes a conditional branch executes regardless of whether its condition is true.,CD,0.331231,0.668769,LO-05,Student believes that while-loops execute their body only once if the condition is true.,LO,0.331437,0.668563
46,Find Minimum in List,25,Student believes that modifying a for loop variable inside the loop body does not affects the next iteration's value.,"LO, VA","LO, CD, VA, IO",False,converted,google/gemini-embedding-001,3072,165,598.11,18.44,5,IO-03,"Student believes that when multiple input statements use the same variable, only the first input determines the variable's value.","IO, VA",0.300276,0.699724,IO-01,Student believes input or data statements directly print values or place values into memory without an explicit variable-receiving step.,"IO, VA",0.305469,0.694531,SQ-05,Student believes some statement types have special execution priority regardless of their position in the algorithm.,"SQ, IO, VA",0.319108,0.680892,LO-05,Student believes that while-loops execute their body only once if the condition is true.,LO,0.328215,0.671785,CD-03,Student believes a conditional branch executes regardless of whether its condition is true.,CD,0.330431,0.669569
46,Find Minimum in List,26,"Student believes that conditional statements, i.e., Python statements that evaluate to either True or False, must always be wrapped in if/else statements to be returned as Boolean values.","CD, EX, OP","LO, CD, VA, IO",False,converted,google/gemini-embedding-001,3072,197,576.49,17.99,5,IO-03,"Student believes that when multiple input statements use the same variable, only the first input determines the variable's value.","IO, VA",0.304886,0.695114,IO-01,Student believes input or data statements directly print values or place values into memory without an explicit variable-receiving step.,"IO, VA",0.309693,0.690307,SQ-05,Student believes some statement types have special execution priority regardless of their position in the algorithm.,"SQ, IO, VA",0.322514,0.677486,LO-05,Student believes that while-loops execute their body only once if the condition is true.,LO,0.32529,0.67471,CD-03,Student believes a conditional branch executes regardless of whether its condition is true.,CD,0.327387,0.672613
46,Find Minimum in List,33,Student believes that multiple mutually exclusive conditions in a control flow construct must each be written as separate if statements.,CD,"LO, CD, VA, IO",False,converted,google/gemini-embedding-001,3072,174,590.89,17.92,5,IO-03,"Student believes that when multiple input statements use the same variable, only the first input determines the variable's value.","IO, VA",0.294966,0.705034,IO-01,Student believes input or data statements directly print values or place values into memory without an explicit variable-receiving step.,"IO, VA",0.30508,0.69492,CD-03,Student believes a conditional branch executes regardless of whether its condition is true.,CD,0.311081,0.688919,SQ-05,Student believes some statement types have special execution priority regardless of their position in the algorithm.,"SQ, IO, VA",0.312981,0.687019,CD-01,Student believes that multiple mutually exclusive conditions in a control-flow construct must each be written as separate if statements.,CD,0.320029,0.679971
